timestamp	filename	gemini_sec	segments	skipped_segments
2026-04-27T12:49:24	recording_2025-10-13_10-30-58.txt	25.4018	81	0
2026-04-27T12:49:34	recording_2025-10-13_10-39-53.txt	10.0302	35	0
2026-04-27T12:50:00	recording_2025-10-13_10-44-49.txt	26.0855	20	0
2026-04-27T12:50:15	recording_2025-10-13_12-07-46.txt	14.2109	190	0
2026-04-27T12:50:22	recording_2025-10-15_10-51-23.txt	7.3818	11	0
2026-04-27T12:50:32	recording_2025-10-15_15-26-13.txt	10.0985	83	0
2026-04-27T12:50:41	recording_2025-10-15_16-01-23.txt	8.3492	18	0
2026-04-27T12:50:44	session_summary.txt	3.2927	1	0
2026-04-27T14:06:58	recording_2025-10-13_10-30-58.txt	18.2177	1	0
2026-04-27T14:07:07	recording_2025-10-13_10-39-53.txt	8.7810	1	0
2026-04-27T14:07:15	recording_2025-10-13_10-44-49.txt	7.5666	1	0
2026-04-27T14:07:37	recording_2025-10-13_12-07-46.txt	22.0855	1	0
2026-04-27T14:07:41	recording_2025-10-15_10-51-23.txt	4.7702	1	0
2026-04-27T14:07:56	recording_2025-10-15_15-26-13.txt	14.2397	1	0
2026-04-27T14:08:01	recording_2025-10-15_16-01-23.txt	5.6944	1	0
2026-04-27T14:08:05	session_summary.txt	3.9984	1	0
